filename,celebrity_name
/teamspace/studios/this_studio/Celebrity Faces Dataset/Hugh Jackman/007_68abd54d.jpg,Hugh Jackman
/teamspace/studios/this_studio/Celebrity Faces Dataset/Hugh Jackman/078_fd557ae2.jpg,Hugh Jackman
/teamspace/studios/this_studio/Celebrity Faces Dataset/Hugh Jackman/077_08ff1da6.jpg,Hugh Jackman
/teamspace/studios/this_studio/Celebrity Faces Dataset/Hugh Jackman/058_48dcb96c.jpg,Hugh Jackman
/teamspace/studios/this_studio/Celebrity Faces Dataset/Hugh Jackman/087_7f9336ac.jpg,Hugh Jackman
/teamspace/studios/this_studio/Celebrity Faces Dataset/Hugh Jackman/070_e88788cd.jpg,Hugh Jackman
/teamspace/studios/this_studio/Celebrity Faces Dataset/Hugh Jackman/040_4baf02be.jpg,Hugh Jackman
/teamspace/studios/this_studio/Celebrity Faces Dataset/Hugh Jackman/072_c6df94c3.jpg,Hugh Jackman
/teamspace/studios/this_studio/Celebrity Faces Dataset/Hugh Jackman/042_31710794.jpg,Hugh Jackman
/teamspace/studios/this_studio/Celebrity Faces Dataset/Hugh Jackman/086_269deff5.jpg,Hugh Jackman
/teamspace/studios/this_studio/Celebrity Faces Dataset/Hugh Jackman/030_c2291830.jpg,Hugh Jackman
/teamspace/studios/this_studio/Celebrity Faces Dataset/Hugh Jackman/038_69b748e3.jpg,Hugh Jackman
/teamspace/studios/this_studio/Celebrity Faces Dataset/Hugh Jackman/001_9adc92c2.jpg,Hugh Jackman
/teamspace/studios/this_studio/Celebrity Faces Dataset/Hugh Jackman/037_f5b8733a.jpg,Hugh Jackman
/teamspace/studios/this_studio/Celebrity Faces Dataset/Hugh Jackman/048_9d5874a5.jpg,Hugh Jackman
/teamspace/studios/this_studio/Celebrity Faces Dataset/Hugh Jackman/067_296269c3.jpg,Hugh Jackman
/teamspace/studios/this_studio/Celebrity Faces Dataset/Hugh Jackman/093_4faba724.jpg,Hugh Jackman
/teamspace/studios/this_studio/Celebrity Faces Dataset/Hugh Jackman/051_12956682.jpg,Hugh Jackman
/teamspace/studios/this_studio/Celebrity Faces Dataset/Hugh Jackman/080_52addc92.jpg,Hugh Jackman
/teamspace/studios/this_studio/Celebrity Faces Dataset/Hugh Jackman/090_916ba69a.jpg,Hugh Jackman
/teamspace/studios/this_studio/Celebrity Faces Dataset/Hugh Jackman/089_a49ffdf2.jpg,Hugh Jackman
/teamspace/studios/this_studio/Celebrity Faces Dataset/Hugh Jackman/068_474081ea.jpg,Hugh Jackman
/teamspace/studios/this_studio/Celebrity Faces Dataset/Hugh Jackman/084_c4bb2e0e.jpg,Hugh Jackman
/teamspace/studios/this_studio/Celebrity Faces Dataset/Hugh Jackman/004_41caa173.jpg,Hugh Jackman
/teamspace/studios/this_studio/Celebrity Faces Dataset/Hugh Jackman/015_186b4bbf.jpg,Hugh Jackman
/teamspace/studios/this_studio/Celebrity Faces Dataset/Hugh Jackman/013_025c288f.jpg,Hugh Jackman
/teamspace/studios/this_studio/Celebrity Faces Dataset/Hugh Jackman/020_edd8803c.jpg,Hugh Jackman
/teamspace/studios/this_studio/Celebrity Faces Dataset/Hugh Jackman/094_bcb2a8f4.jpg,Hugh Jackman
/teamspace/studios/this_studio/Celebrity Faces Dataset/Hugh Jackman/061_2de5a089.jpg,Hugh Jackman
/teamspace/studios/this_studio/Celebrity Faces Dataset/Hugh Jackman/028_7214d33e.jpg,Hugh Jackman
/teamspace/studios/this_studio/Celebrity Faces Dataset/Hugh Jackman/096_b2e35bd2.jpg,Hugh Jackman
/teamspace/studios/this_studio/Celebrity Faces Dataset/Hugh Jackman/050_509d326a.jpg,Hugh Jackman
/teamspace/studios/this_studio/Celebrity Faces Dataset/Hugh Jackman/056_11835953.jpg,Hugh Jackman
/teamspace/studios/this_studio/Celebrity Faces Dataset/Hugh Jackman/031_e8d3b475.jpg,Hugh Jackman
/teamspace/studios/this_studio/Celebrity Faces Dataset/Hugh Jackman/023_53e3d0b3.jpg,Hugh Jackman
/teamspace/studios/this_studio/Celebrity Faces Dataset/Hugh Jackman/049_beaf3777.jpg,Hugh Jackman
/teamspace/studios/this_studio/Celebrity Faces Dataset/Hugh Jackman/076_b53060b4.jpg,Hugh Jackman
/teamspace/studios/this_studio/Celebrity Faces Dataset/Hugh Jackman/043_1d38d614.jpg,Hugh Jackman
/teamspace/studios/this_studio/Celebrity Faces Dataset/Hugh Jackman/011_17b8991d.jpg,Hugh Jackman
/teamspace/studios/this_studio/Celebrity Faces Dataset/Hugh Jackman/045_24b44c3d.jpg,Hugh Jackman
/teamspace/studios/this_studio/Celebrity Faces Dataset/Hugh Jackman/032_0e6a520a.jpg,Hugh Jackman
/teamspace/studios/this_studio/Celebrity Faces Dataset/Hugh Jackman/059_aef6a0a8.jpg,Hugh Jackman
/teamspace/studios/this_studio/Celebrity Faces Dataset/Hugh Jackman/012_b33b05c6.jpg,Hugh Jackman
/teamspace/studios/this_studio/Celebrity Faces Dataset/Hugh Jackman/097_21a9bff5.jpg,Hugh Jackman
/teamspace/studios/this_studio/Celebrity Faces Dataset/Hugh Jackman/083_3ab573ea.jpg,Hugh Jackman
/teamspace/studios/this_studio/Celebrity Faces Dataset/Hugh Jackman/100_1ea80814.jpg,Hugh Jackman
/teamspace/studios/this_studio/Celebrity Faces Dataset/Hugh Jackman/063_6f1c7f3e.jpg,Hugh Jackman
/teamspace/studios/this_studio/Celebrity Faces Dataset/Hugh Jackman/046_de6d6bf0.jpg,Hugh Jackman
/teamspace/studios/this_studio/Celebrity Faces Dataset/Hugh Jackman/054_4274a548.jpg,Hugh Jackman
/teamspace/studios/this_studio/Celebrity Faces Dataset/Hugh Jackman/091_2ace2ad8.jpg,Hugh Jackman
/teamspace/studios/this_studio/Celebrity Faces Dataset/Hugh Jackman/099_8a31fcb9.jpg,Hugh Jackman
/teamspace/studios/this_studio/Celebrity Faces Dataset/Hugh Jackman/095_b464eda0.jpg,Hugh Jackman
/teamspace/studios/this_studio/Celebrity Faces Dataset/Hugh Jackman/033_06f1823f.jpg,Hugh Jackman
/teamspace/studios/this_studio/Celebrity Faces Dataset/Hugh Jackman/071_071d0cfc.jpg,Hugh Jackman
/teamspace/studios/this_studio/Celebrity Faces Dataset/Hugh Jackman/065_db7b31f5.jpg,Hugh Jackman
/teamspace/studios/this_studio/Celebrity Faces Dataset/Hugh Jackman/079_dbb72b1d.jpg,Hugh Jackman
/teamspace/studios/this_studio/Celebrity Faces Dataset/Hugh Jackman/085_394c2c3c.jpg,Hugh Jackman
/teamspace/studios/this_studio/Celebrity Faces Dataset/Hugh Jackman/052_f394c931.jpg,Hugh Jackman
/teamspace/studios/this_studio/Celebrity Faces Dataset/Hugh Jackman/082_bf5ea9df.jpg,Hugh Jackman
/teamspace/studios/this_studio/Celebrity Faces Dataset/Jennifer Lawrence/028_7191558a.jpg,Jennifer Lawrence
/teamspace/studios/this_studio/Celebrity Faces Dataset/Jennifer Lawrence/068_9718f48b.jpg,Jennifer Lawrence
/teamspace/studios/this_studio/Celebrity Faces Dataset/Jennifer Lawrence/029_7cc8d551.jpg,Jennifer Lawrence
/teamspace/studios/this_studio/Celebrity Faces Dataset/Jennifer Lawrence/021_2eaafb9f.jpg,Jennifer Lawrence
/teamspace/studios/this_studio/Celebrity Faces Dataset/Jennifer Lawrence/071_70e7bd88.jpg,Jennifer Lawrence
/teamspace/studios/this_studio/Celebrity Faces Dataset/Jennifer Lawrence/069_bdd7c91d.jpg,Jennifer Lawrence
/teamspace/studios/this_studio/Celebrity Faces Dataset/Jennifer Lawrence/002_533748b2.jpg,Jennifer Lawrence
/teamspace/studios/this_studio/Celebrity Faces Dataset/Jennifer Lawrence/049_d3ba5c55.jpg,Jennifer Lawrence
/teamspace/studios/this_studio/Celebrity Faces Dataset/Jennifer Lawrence/036_e76dcff2.jpg,Jennifer Lawrence
/teamspace/studios/this_studio/Celebrity Faces Dataset/Jennifer Lawrence/082_2251d7b7.jpg,Jennifer Lawrence
/teamspace/studios/this_studio/Celebrity Faces Dataset/Jennifer Lawrence/050_f545b0ea.jpg,Jennifer Lawrence
/teamspace/studios/this_studio/Celebrity Faces Dataset/Jennifer Lawrence/085_b2827d47.jpg,Jennifer Lawrence
/teamspace/studios/this_studio/Celebrity Faces Dataset/Jennifer Lawrence/018_2974b20a.jpg,Jennifer Lawrence
/teamspace/studios/this_studio/Celebrity Faces Dataset/Jennifer Lawrence/047_6e08a927.jpg,Jennifer Lawrence
/teamspace/studios/this_studio/Celebrity Faces Dataset/Jennifer Lawrence/066_4c979163.jpg,Jennifer Lawrence
/teamspace/studios/this_studio/Celebrity Faces Dataset/Jennifer Lawrence/030_4f246d8f.jpg,Jennifer Lawrence
/teamspace/studios/this_studio/Celebrity Faces Dataset/Jennifer Lawrence/100_6882dc21.jpg,Jennifer Lawrence
/teamspace/studios/this_studio/Celebrity Faces Dataset/Jennifer Lawrence/091_e8f3497f.jpg,Jennifer Lawrence
/teamspace/studios/this_studio/Celebrity Faces Dataset/Jennifer Lawrence/039_f2610531.jpg,Jennifer Lawrence
/teamspace/studios/this_studio/Celebrity Faces Dataset/Jennifer Lawrence/042_db56b563.jpg,Jennifer Lawrence
/teamspace/studios/this_studio/Celebrity Faces Dataset/Jennifer Lawrence/087_2fd20b9a.jpg,Jennifer Lawrence
/teamspace/studios/this_studio/Celebrity Faces Dataset/Jennifer Lawrence/054_cc2a9231.jpg,Jennifer Lawrence
/teamspace/studios/this_studio/Celebrity Faces Dataset/Jennifer Lawrence/038_ca50cc93.jpg,Jennifer Lawrence
/teamspace/studios/this_studio/Celebrity Faces Dataset/Jennifer Lawrence/077_0fd24d01.jpg,Jennifer Lawrence
/teamspace/studios/this_studio/Celebrity Faces Dataset/Jennifer Lawrence/040_b392a367.jpg,Jennifer Lawrence
/teamspace/studios/this_studio/Celebrity Faces Dataset/Jennifer Lawrence/086_7ddf4f90.jpg,Jennifer Lawrence
/teamspace/studios/this_studio/Celebrity Faces Dataset/Jennifer Lawrence/013_78060c8a.jpg,Jennifer Lawrence
/teamspace/studios/this_studio/Celebrity Faces Dataset/Jennifer Lawrence/019_ab6f69c3.jpg,Jennifer Lawrence
/teamspace/studios/this_studio/Celebrity Faces Dataset/Jennifer Lawrence/024_bfe8d1d4.jpg,Jennifer Lawrence
/teamspace/studios/this_studio/Celebrity Faces Dataset/Jennifer Lawrence/025_f5a5036b.jpg,Jennifer Lawrence
/teamspace/studios/this_studio/Celebrity Faces Dataset/Jennifer Lawrence/031_0785344e.jpg,Jennifer Lawrence
/teamspace/studios/this_studio/Celebrity Faces Dataset/Jennifer Lawrence/048_2646d85d.jpg,Jennifer Lawrence
/teamspace/studios/this_studio/Celebrity Faces Dataset/Jennifer Lawrence/014_0100b141.jpg,Jennifer Lawrence
/teamspace/studios/this_studio/Celebrity Faces Dataset/Jennifer Lawrence/017_b67e0915.jpg,Jennifer Lawrence
/teamspace/studios/this_studio/Celebrity Faces Dataset/Jennifer Lawrence/065_0dc771a5.jpg,Jennifer Lawrence
/teamspace/studios/this_studio/Celebrity Faces Dataset/Jennifer Lawrence/009_bcd380a7.jpg,Jennifer Lawrence
/teamspace/studios/this_studio/Celebrity Faces Dataset/Jennifer Lawrence/088_1229c0dd.jpg,Jennifer Lawrence
/teamspace/studios/this_studio/Celebrity Faces Dataset/Jennifer Lawrence/051_2aace444.jpg,Jennifer Lawrence
/teamspace/studios/this_studio/Celebrity Faces Dataset/Jennifer Lawrence/073_2c17626c.jpg,Jennifer Lawrence
/teamspace/studios/this_studio/Celebrity Faces Dataset/Jennifer Lawrence/020_5a08581b.jpg,Jennifer Lawrence
/teamspace/studios/this_studio/Celebrity Faces Dataset/Jennifer Lawrence/005_7f198c47.jpg,Jennifer Lawrence
/teamspace/studios/this_studio/Celebrity Faces Dataset/Jennifer Lawrence/059_dd54feaf.jpg,Jennifer Lawrence
/teamspace/studios/this_studio/Celebrity Faces Dataset/Jennifer Lawrence/046_7a3818f6.jpg,Jennifer Lawrence
/teamspace/studios/this_studio/Celebrity Faces Dataset/Jennifer Lawrence/092_aebdc10e.jpg,Jennifer Lawrence
/teamspace/studios/this_studio/Celebrity Faces Dataset/Jennifer Lawrence/015_48a3c3ec.jpg,Jennifer Lawrence
/teamspace/studios/this_studio/Celebrity Faces Dataset/Jennifer Lawrence/070_d8f59abc.jpg,Jennifer Lawrence
/teamspace/studios/this_studio/Celebrity Faces Dataset/Jennifer Lawrence/080_7e43a953.jpg,Jennifer Lawrence
/teamspace/studios/this_studio/Celebrity Faces Dataset/Jennifer Lawrence/075_5a5afdfa.jpg,Jennifer Lawrence
/teamspace/studios/this_studio/Celebrity Faces Dataset/Jennifer Lawrence/058_a8b460e9.jpg,Jennifer Lawrence
/teamspace/studios/this_studio/Celebrity Faces Dataset/Jennifer Lawrence/079_cf4c7dee.jpg,Jennifer Lawrence
/teamspace/studios/this_studio/Celebrity Faces Dataset/Jennifer Lawrence/084_0f0f27e4.jpg,Jennifer Lawrence
/teamspace/studios/this_studio/Celebrity Faces Dataset/Jennifer Lawrence/022_e214ba9f.jpg,Jennifer Lawrence
/teamspace/studios/this_studio/Celebrity Faces Dataset/Jennifer Lawrence/008_35fbbb0c.jpg,Jennifer Lawrence
/teamspace/studios/this_studio/Celebrity Faces Dataset/Jennifer Lawrence/094_c0a66044.jpg,Jennifer Lawrence
/teamspace/studios/this_studio/Celebrity Faces Dataset/Jennifer Lawrence/076_caf65a53.jpg,Jennifer Lawrence
/teamspace/studios/this_studio/Celebrity Faces Dataset/Jennifer Lawrence/064_3e07b8f6.jpg,Jennifer Lawrence
/teamspace/studios/this_studio/Celebrity Faces Dataset/Jennifer Lawrence/083_c22f1140.jpg,Jennifer Lawrence
/teamspace/studios/this_studio/Celebrity Faces Dataset/Jennifer Lawrence/012_12d61e14.jpg,Jennifer Lawrence
/teamspace/studios/this_studio/Celebrity Faces Dataset/Jennifer Lawrence/006_2d0dccd4.jpg,Jennifer Lawrence
/teamspace/studios/this_studio/Celebrity Faces Dataset/Jennifer Lawrence/055_7b8dfc3a.jpg,Jennifer Lawrence
/teamspace/studios/this_studio/Celebrity Faces Dataset/Jennifer Lawrence/007_72ad75ba.jpg,Jennifer Lawrence
/teamspace/studios/this_studio/Celebrity Faces Dataset/Jennifer Lawrence/035_39bf8fcb.jpg,Jennifer Lawrence
/teamspace/studios/this_studio/Celebrity Faces Dataset/Jennifer Lawrence/060_bb963eed.jpg,Jennifer Lawrence
/teamspace/studios/this_studio/Celebrity Faces Dataset/Jennifer Lawrence/004_94f26ed9.jpg,Jennifer Lawrence
/teamspace/studios/this_studio/Celebrity Faces Dataset/Jennifer Lawrence/098_fa237ecc.jpg,Jennifer Lawrence
/teamspace/studios/this_studio/Celebrity Faces Dataset/Jennifer Lawrence/061_2306ab5b.jpg,Jennifer Lawrence
/teamspace/studios/this_studio/Celebrity Faces Dataset/Jennifer Lawrence/044_2619e688.jpg,Jennifer Lawrence
/teamspace/studios/this_studio/Celebrity Faces Dataset/Jennifer Lawrence/062_99dd69cb.jpg,Jennifer Lawrence
/teamspace/studios/this_studio/Celebrity Faces Dataset/Jennifer Lawrence/089_152cf5f6.jpg,Jennifer Lawrence
/teamspace/studios/this_studio/Celebrity Faces Dataset/Jennifer Lawrence/026_cf5be1f1.jpg,Jennifer Lawrence
/teamspace/studios/this_studio/Celebrity Faces Dataset/Jennifer Lawrence/037_46ec39ce.jpg,Jennifer Lawrence
/teamspace/studios/this_studio/Celebrity Faces Dataset/Jennifer Lawrence/045_9f391be6.jpg,Jennifer Lawrence
/teamspace/studios/this_studio/Celebrity Faces Dataset/Jennifer Lawrence/010_34d63b53.jpg,Jennifer Lawrence
/teamspace/studios/this_studio/Celebrity Faces Dataset/Jennifer Lawrence/011_8c50c05f.jpg,Jennifer Lawrence
/teamspace/studios/this_studio/Celebrity Faces Dataset/Jennifer Lawrence/032_bed86546.jpg,Jennifer Lawrence
/teamspace/studios/this_studio/Celebrity Faces Dataset/Jennifer Lawrence/001_21a7d5e6.jpg,Jennifer Lawrence
/teamspace/studios/this_studio/Celebrity Faces Dataset/Jennifer Lawrence/034_de792370.jpg,Jennifer Lawrence
/teamspace/studios/this_studio/Celebrity Faces Dataset/Jennifer Lawrence/095_0ccffcb8.jpg,Jennifer Lawrence
/teamspace/studios/this_studio/Celebrity Faces Dataset/Jennifer Lawrence/090_14fe77d5.jpg,Jennifer Lawrence
/teamspace/studios/this_studio/Celebrity Faces Dataset/Jennifer Lawrence/093_07692aea.jpg,Jennifer Lawrence
/teamspace/studios/this_studio/Celebrity Faces Dataset/Jennifer Lawrence/027_3290d1bc.jpg,Jennifer Lawrence
/teamspace/studios/this_studio/Celebrity Faces Dataset/Jennifer Lawrence/043_cccb0e88.jpg,Jennifer Lawrence
/teamspace/studios/this_studio/Celebrity Faces Dataset/Jennifer Lawrence/056_f22ab393.jpg,Jennifer Lawrence
/teamspace/studios/this_studio/Celebrity Faces Dataset/Jennifer Lawrence/099_384306de.jpg,Jennifer Lawrence
/teamspace/studios/this_studio/Celebrity Faces Dataset/Jennifer Lawrence/053_235dbe3b.jpg,Jennifer Lawrence
/teamspace/studios/this_studio/Celebrity Faces Dataset/Jennifer Lawrence/033_c27f428c.jpg,Jennifer Lawrence
/teamspace/studios/this_studio/Celebrity Faces Dataset/Jennifer Lawrence/072_47470694.jpg,Jennifer Lawrence
/teamspace/studios/this_studio/Celebrity Faces Dataset/Jennifer Lawrence/081_132549cb.jpg,Jennifer Lawrence
/teamspace/studios/this_studio/Celebrity Faces Dataset/Jennifer Lawrence/078_d1d62b6f.jpg,Jennifer Lawrence
/teamspace/studios/this_studio/Celebrity Faces Dataset/Jennifer Lawrence/052_f7f4e937.jpg,Jennifer Lawrence
/teamspace/studios/this_studio/Celebrity Faces Dataset/Jennifer Lawrence/097_f19b4cfc.jpg,Jennifer Lawrence
/teamspace/studios/this_studio/Celebrity Faces Dataset/Jennifer Lawrence/041_54a9280d.jpg,Jennifer Lawrence
/teamspace/studios/this_studio/Celebrity Faces Dataset/Jennifer Lawrence/074_ed2be25f.jpg,Jennifer Lawrence
/teamspace/studios/this_studio/Celebrity Faces Dataset/Jennifer Lawrence/016_d731baf7.jpg,Jennifer Lawrence
/teamspace/studios/this_studio/Celebrity Faces Dataset/Jennifer Lawrence/067_2cd39306.jpg,Jennifer Lawrence
/teamspace/studios/this_studio/Celebrity Faces Dataset/Jennifer Lawrence/063_67d7dfda.jpg,Jennifer Lawrence
/teamspace/studios/this_studio/Celebrity Faces Dataset/Jennifer Lawrence/023_5bc0c09d.jpg,Jennifer Lawrence
/teamspace/studios/this_studio/Celebrity Faces Dataset/Jennifer Lawrence/003_963a3627.jpg,Jennifer Lawrence
/teamspace/studios/this_studio/Celebrity Faces Dataset/Jennifer Lawrence/057_3911a64f.jpg,Jennifer Lawrence
/teamspace/studios/this_studio/Celebrity Faces Dataset/Jennifer Lawrence/096_a0626390.jpg,Jennifer Lawrence
/teamspace/studios/this_studio/Celebrity Faces Dataset/Kate Winslet/061_9885f065.jpg,Kate Winslet
/teamspace/studios/this_studio/Celebrity Faces Dataset/Kate Winslet/034_60fff082.jpg,Kate Winslet
/teamspace/studios/this_studio/Celebrity Faces Dataset/Kate Winslet/024_cc39b61d.jpg,Kate Winslet
/teamspace/studios/this_studio/Celebrity Faces Dataset/Kate Winslet/052_0d214eb0.jpg,Kate Winslet
/teamspace/studios/this_studio/Celebrity Faces Dataset/Kate Winslet/066_9c2fdc93.jpg,Kate Winslet
/teamspace/studios/this_studio/Celebrity Faces Dataset/Kate Winslet/096_32a79dde.jpg,Kate Winslet
/teamspace/studios/this_studio/Celebrity Faces Dataset/Kate Winslet/041_79dd00e0.jpg,Kate Winslet
/teamspace/studios/this_studio/Celebrity Faces Dataset/Kate Winslet/004_0816d969.jpg,Kate Winslet
/teamspace/studios/this_studio/Celebrity Faces Dataset/Kate Winslet/064_1b7da2f6.jpg,Kate Winslet
/teamspace/studios/this_studio/Celebrity Faces Dataset/Kate Winslet/042_043c0405.jpg,Kate Winslet
/teamspace/studios/this_studio/Celebrity Faces Dataset/Kate Winslet/055_30dc3531.jpg,Kate Winslet
/teamspace/studios/this_studio/Celebrity Faces Dataset/Kate Winslet/030_92cca8fa.jpg,Kate Winslet
/teamspace/studios/this_studio/Celebrity Faces Dataset/Kate Winslet/036_1533e4ff.jpg,Kate Winslet
/teamspace/studios/this_studio/Celebrity Faces Dataset/Kate Winslet/006_eda1948f.jpg,Kate Winslet
/teamspace/studios/this_studio/Celebrity Faces Dataset/Kate Winslet/068_712660e4.jpg,Kate Winslet
/teamspace/studios/this_studio/Celebrity Faces Dataset/Kate Winslet/083_a685594b.jpg,Kate Winslet
/teamspace/studios/this_studio/Celebrity Faces Dataset/Kate Winslet/054_ca0da4ca.jpg,Kate Winslet
/teamspace/studios/this_studio/Celebrity Faces Dataset/Kate Winslet/039_1fcf8174.jpg,Kate Winslet
/teamspace/studios/this_studio/Celebrity Faces Dataset/Kate Winslet/077_9bcf9b8c.jpg,Kate Winslet
/teamspace/studios/this_studio/Celebrity Faces Dataset/Kate Winslet/014_76fd590c.jpg,Kate Winslet
/teamspace/studios/this_studio/Celebrity Faces Dataset/Kate Winslet/072_5372b2f8.jpg,Kate Winslet
/teamspace/studios/this_studio/Celebrity Faces Dataset/Kate Winslet/015_3a0f9ec8.jpg,Kate Winslet
/teamspace/studios/this_studio/Celebrity Faces Dataset/Kate Winslet/050_0c20b215.jpg,Kate Winslet
/teamspace/studios/this_studio/Celebrity Faces Dataset/Kate Winslet/025_0131eaa3.jpg,Kate Winslet
/teamspace/studios/this_studio/Celebrity Faces Dataset/Kate Winslet/089_16077370.jpg,Kate Winslet
/teamspace/studios/this_studio/Celebrity Faces Dataset/Kate Winslet/078_d36c2be3.jpg,Kate Winslet
/teamspace/studios/this_studio/Celebrity Faces Dataset/Kate Winslet/051_06409457.jpg,Kate Winslet
/teamspace/studios/this_studio/Celebrity Faces Dataset/Kate Winslet/092_7716bdbb.jpg,Kate Winslet
/teamspace/studios/this_studio/Celebrity Faces Dataset/Kate Winslet/075_98fb973f.jpg,Kate Winslet
/teamspace/studios/this_studio/Celebrity Faces Dataset/Kate Winslet/047_c6dd0c78.jpg,Kate Winslet
/teamspace/studios/this_studio/Celebrity Faces Dataset/Kate Winslet/044_c2d670fb.jpg,Kate Winslet
/teamspace/studios/this_studio/Celebrity Faces Dataset/Kate Winslet/081_e9a7882a.jpg,Kate Winslet
/teamspace/studios/this_studio/Celebrity Faces Dataset/Kate Winslet/082_4bbff9c3.jpg,Kate Winslet
/teamspace/studios/this_studio/Celebrity Faces Dataset/Kate Winslet/058_7f95baf4.jpg,Kate Winslet
/teamspace/studios/this_studio/Celebrity Faces Dataset/Kate Winslet/048_453e6cb3.jpg,Kate Winslet
/teamspace/studios/this_studio/Celebrity Faces Dataset/Kate Winslet/033_c27883e5.jpg,Kate Winslet
/teamspace/studios/this_studio/Celebrity Faces Dataset/Kate Winslet/099_61c7b659.jpg,Kate Winslet
